Combined Electromigration and Mechanical Failure Risk in Interconnects: The Imminent Threat to Power Package Reliability,NSF POETS ERC,R1.016.20,286584,2020.8,2022.7,David Huitink,Yarui Peng and Pingfang Wang
Enhancing and Demonstration of PowerSynth-Integrated Physical Design Flow,NSF POETS ERC,R1.012.19,410372,2019.8,2022.7,Alan Mantooth,Yarui Peng
"Integration of Thermomechanical Reliability Enhancing Technologies into High Density Module, with Design for Reliability Layout Optimization Scheme",NSF POETS ERC,R2.025.18,355000,2018.8,2020.7,David Huitink,Yarui Peng,Simon Ang,Nenad Miljkovic
"High Speed Integrated 15 kV SiC MOSFET Power Module: Architecture, Design, Fabrication, and Testing",DoD ARL,W911NF1920231,700000,2018.5,2021.5,Fang Luo,David Huitink,Alan Mantooth,Simon Ang,Yarui Peng
PowerSynth Progression Towards an Infrastructure for Heterogeneous & 3D Modules,NSF POETS ERC,R1.007.17,265000,2017.8,2019.7,Alan Mantooth,Yarui Peng
