Name,Model,CPU,RAM,OS,Login,Usage
peng-ws1,Dell Precision 3620,Intel Xeon E3 1245 v6 4C@3.7G,32GB,Win10,UARK,Student Desktop
peng-ws2,Dell Precision 3620,Intel Xeon E3 1245 v6 4C@3.7G,32GB,Win10,UARK,Student Desktop
peng-ws3,Dell Precision 3620,Intel Core i7 7700 4C@3.6G,32GB,Win10,UARK,Student Desktop
peng-ws4,Dell Precision 3620,Intel Core i7 7700 4C@3.6G,32GB,Win10,UARK,Student Desktop
peng-ws5,Dell Precision 3620,Intel Xeon E3 1245 v6 4C@3.7G,32GB,Win10,UARK,Student Desktop
peng-ws6,Dell Optiplex 3060,Intel Core i5 8500 6C@3.0G,32GB,Win10,UARK,Student Desktop
peng-ws7,Dell Optiplex 3060,Intel Core i5 8500 6C@3.0G,32GB,Win10,UARK,Student Desktop
peng-ws8,Dell Precision 3620,Intel Core i7 7700 4C@3.6G,32GB,Win10,UARK,Student Desktop
