Name,Model,CPU,RAM,OS,Login,Usage
peng-dev1,Lenovo IdeaPad S340,Core i7 1065G7,8GB,Win10,UARK,Student Laptop
peng-dev2,Lenovo IdeaPad S340,Core i7 1065G7,8GB,Win10,UARK,Student Laptop
peng-dev3,Lenovo IdeaPad S340,Core i7 1065G7,8GB,Win10,UARK,Student Laptop
peng-dev4,Lenovo IdeaPad S340,Core i7 1065G7,8GB,Win10,UARK,Student Laptop
peng-dev5,Lenovo IdeaPad S340,Core i7 1065G7,8GB,Win10,UARK,Student Laptop
peng-dev6,HP ENVY x360 15 Convertible,Core i5 1135G7 ,8GB,Win10,UARK,Student Shared Laptop
peng-dev7,HP Spectre x360 13 Convertible,Core i5 1135G7 ,8GB,Win10,UARK,Office Laptop
